COD_REG;NOME_Regione;C1;C2;C3;C4;C5;C6;C7_RM_1956;C7_RM_1989;C7_RM_1998;C7_RM_2008;C7_RM_2013;C7_RM_2015;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50;C51;C52;C53;C54;C55;C56;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C67;C68;C69;C70;C71;C72;C73;C74;C75;C76;C77;C78;C79;C80;C81;C82;C83;C84;C85;C86;C87;C88;C89;C90;C91;C92;C93;C94;C95;C96;C97;C98;C99;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;C116;C117;C118;C119;C120;C121;C122;C123;C124;C125
1;Piemonte;207035,75;2332961,64;0;8,1510221552;91,8489778448;0;3,0385595519;5,3614022422;5,8212017193;6,1090086022;7,0300432685;7,0668895056;170492;3097,61;0;118625,99;11750,91;0;9,0130306826;8,1043816157;0;0;626,16;0;0;7;207028,75;;;1,1055657338;8,1527788552;120962,14;59068,48;27007,87;841909,48;465211,13;1025768,94;12,5626446442;11,2665987525;2,5653937039;154564,68;52473,81;984470,230000001;1348419,32;13,5697930452;3,7457396911;35903,88;278995,23;11,4017089474;15048,55;183879,21;7,564831575;7449,09;128453,42;5,4812011934;0,12;2360,84;3338,52;3124,01;0;14,75;10153,35;71142,97;73950,51;0;0,8069939475;18,8653041068;4,4823485674;4,0532331567;;24,33;0;8078,07;0;0,3002813981;;1087937,19;1452071,32;42,8320293305;1442182,85;1097827,58;56,7786192122;1934860,95;605155,010000002;76,1751493089;23324,51;8,2265657824;;;2539997,39;;;;4424467;1,7419179317;88,2799255955;;;;;;;;;;;;;;;;;;;-682528,14283365;-6199630,56384327;-241071,545257092;-13784760,44;-700122,482529291;-85192,2098470523;-113748,852805735;-967501,481147903;-5528889,5125634;6576,6845467093;13153,3690934186;11047,4608495829;22094,9216991659;-4045795;-20489347,1562187;-30578770,1062062
2;Valle D'Aosta;9376,04;316805,56;0;2,8744846429;97,1255153571;0;1,710092248;2,3924411834;2,4497044727;2,7375651217;2,982339619;3,0692422482;43202,46;163,51;0;13694,77;1449,43;0;9,5708588106;2,5484427275;0;0;0;0;0;0;9376,04;;;;2,8744846429;27,85;2324,6;7023,74;44,74;6383,1;310382,57;38,3661661386;26,6959128128;2,2128545586;2591,73;6784,46;13989,73;302820,68;15,6302882858;2,1913266685;3174,44;26709,89;10,6224231897;1465,18;22444,4;6,1280039214;722,74;15003,9;4,5956415356;0;3630,13;2226,34;946,07;0;0;38808,43;119877;144238,81;0;;8,5538481984;1,823324407;0,6516312167;;0;0;0;0;;;62015,84;264172,25;19,0122944096;82681,74;243506,57;25,3478550473;119881,31;206307,46;36,7521266903;1510,22;2,8878554063;;;326181,6;;;;128298;0,393333039;94,3420400261;;;;;;;;;;;;;;;;;;;-157177,583667719;-1427696,35733044;-38364,1572281999;-397399,48;-79571,7750390552;-10009,5646894813;-13364,7958910263;-1303531,87053843;-7449170,70283048;92,5414648056;185,0829296111;1041,0914754865;2082,1829509729;-479700;-2464620,79822259;-9883000,00243862
3;Lombardia;306072,950000001;2081725,23;0;12,8182085305;87,1817914695;0;4,8582964604;7,9103870406;8,9353256966;10,0257259065;10,8990299961;10,9944411339;131891,22;3106,18;0;180497,43;15650,23;0;7,9788002569;13,2513243945;0;0;0;0;0;0;306072,950000001;;;;12,8182085305;254014,44;33253,47;18808,69;1133109,18;189280,12;759342,33;18,3123145145;14,9431238673;2,4171002179;262551,87;43524,73;1154200,06;927531,570000001;18,5319578142;4,4822045848;49852,03;403272,75;11,0018326519;12251,16;190465,15;6,0434999039;9852,21;173119,69;5,3845481191;0,04;9083,77;1834,33;1316,43;0;1,15;43614,27;64476,36;77439,12;0;3,3613445378;17,2373963054;2,7662658917;1,6715393391;;14889,38;0;89458,17;0;14,2690269201;;1151266,05;1236547,7;48,2142315329;1452110,84;935705,319999999;60,8133433522;1857086,97;530733,17;77,7733188062;79056,2000000002;13,2571310545;;;2387798,18;;;;9997830;4,1870498452;78,152628757;;;;;;;;;;;;;;;;;;;-2050610,92512525;-18626381,6387474;-516776,918429232;-100235820,88;-3970208,59087984;-250527,405469167;-334504,820420398;-2191285,19935124;-12522330,9667227;54542,308186734;109084,616373468;79275,5425908423;158551,085181685;-12609740;-121691152,068477;-148548128,113644
4;Trentino-Alto Adige;60046,42;1300408,05;0;4,4137030179;95,5862969821;0;1,4856926248;2,0992822129;2,2596068901;2,4468597305;2,4987432088;2,5285260237;266591,81;2461,84;0;31929,96;4312,81;0;11,8997802872;4,2088141949;0;0;0;0;0;0;60046,42;;;;4,4137030179;10554,84;9210,04;40282,39;34710,76;63115,69;1202590,11;23,3175744937;12,7341127425;3,2410717914;19897,83;40149,44;91334,9600000001;1209081,6;17,8884571717;3,2139323083;1839,96;9795,96;15,8127591114;1107,98;6998,76;13,6673928114;673,93;4922,13;12,0429373524;12395,26;3366,31;2194,5;118,23;0,15;256918,06;136517,56;133698,19;3888,45;9,19;4,6025424959;2,4065033374;1,6148771505;2,950822127;1,6059957173;1022,57;0;25503,48;0;3,8549652134;;438938,81;921526,359999999;32,2638770679;577921,5;782544,31;42,479678339;775673,74;584793,79;57,0152335793;7887,27;4,4394407908;;;1360454,47;;;;1046523;0,7692451479;93,3431773895;;;;;;;;;;;;;;;;;;;-799502,281337681;-7262145,81735175;-207128,712597266;-14846270,76;-2697771,84648523;-68467,254098153;-91417,6495563146;-3168378,09318636;-18106031,621233;1619,4119610188;3238,8239220376;6521,994278135;13043,9885562701;-2786290;-24565667,5414655;-45980773,5947452
5;Veneto;224042,91;1615756,1;0;12,1775753103;87,8224246897;0;3,8986830992;6,0658229589;7,6231584009;9,5392180293;9,8880373842;10,0001333507;83483,0900000001;3220,43;0;167152,49;17197,49;0,1;9,3287181263;12,494823383;31726,1;34320,52;149094,1;3717,83;3897,47;22470,41;193957,2;10,4893277918;10,1979983772;13,0973532929;12,1635855547;201117,6;9740,3;12780,25;1042239,37;109818,98;450581,48;16,1753707787;8,1468372844;2,7581582968;198215,82;25422,33;1002677,65;599962,18;16,5056955468;4,0650719027;57268,82;407636,31;12,318388485;19384,07;156296,33;11,0337123549;13125,04;117410,9;10,0547328192;193,67;295,96;284,69;215,07;590,26;2365,42;2726,27;5504,98;4546,88;25030,24;7,5679245357;9,7927689157;4,9172059893;4,5164270939;2,3038582385;81693,71;683,18;572514,22;17670;12,4874227679;3,7224066892;915349,87;924446,74;49,7527751179;1149082,24;690726,42;62,4566165484;1444073,81;395747,77;78,4898832418;76975,36;12,7093206402;;;1839799,01;;;;4927596;2,6783338687;85,8912089446;;;;;;;;;;;;;;;;;;;-1398103,01737215;-12699435,351988;-402329,11709865;-110482044;-2281222,622696;-182093,306598615;-243131,439961592;-523360,882974083;-2990801,10319643;24274,171549892;48548,343099784;39718,932895334;79437,8657906679;-9090120;-124295279,842294;-138061097,42605
6;Friuli Venezia Giulia;68887,98;712796,48;3159,23;8,8127605863;91,1872394137;0,4025298337;2,9945216984;5,3479022263;6,10351156;6,6458332942;6,8536559456;6,8833576986;50037,11;220,24;0,97;55656,71;4040,88;296,79;6,7689164671;8,9462870565;11337,63;12665,67;60080,86;1746,79;2077,89;9313,86;55749,44;13,3501523186;14,0935432148;13,4215686727;8,1450043316;59427,45;4514,22;4947,64;352619,99;69322,58;290862,92;14,4224776642;6,1137806622;1,6725704451;58144;10745,31;340332,08;372473,41;14,5915910436;2,8039627083;7499,63;60027,3;11,1061320276;6262,91;52705,28;10,6208279413;2029,67;21166,57;8,749995689;65,94;157,99;229,46;487,55;5,37;670,76;853,89;3362,2;14698,84;33,72;8,9507262115;15,6135114836;6,3886893526;3,2104404009;13,7375287797;43569,78;5355,36;457358,69;107811,76;8,6978046985;4,7322579209;332087,06;450486,42;42,4352560478;426064,3;356924,65;54,4151102005;549638,25;233978,28;70,1412271127;26030,53;9,1163398039;;;784843,69;;;;1223123;1,5584287873;86,440963401;;;;;;;;;;;;;;;;;;;-533566,481113471;-4846562,27725226;-154751,091828399;-17758534,12;-635044,857050771;-61325,3436030743;-81881,7529809173;-378335,198244531;-2162036,49355242;14512,5608607566;29025,1217215132;25421,9212594694;50843,8425189389;-3142230;-22623852,60972;-28701171,6284243
7;Liguria;44189;497724,83;0;8,1542484347;91,8457515653;0;2,7592324946;5,1173949609;6,2310463183;6,6677535493;6,9652789918;7,027156596;28028,81;1517,56;0;4440,23;1386,79;0;23,7993005001;7,9841938286;5854,36;14697,88;208086,03;5351,95;6424,42;20626,65;11785,98;47,7583611376;30,4153430261;9,0185861142;4,1962023059;29173,42;9715,12;5296,66;129098,36;173339,79;195243,68;18,4324836683;5,3072162883;2,6411942854;16982,94;27202,26;53028,95;444652,88;24,2572225946;5,7649599833;5879,85;12111,72;32,6811390001;4155,75;10301,74;28,7446161125;2329,44;8082,08;22,373678387;9708,2;9912,83;3592,11;630,28;15,25;83399,64;129439,94;66131,2;10986,26;131,89;10,4268340883;7,1134789786;5,1519499003;5,425711959;10,364278918;4038,26;0;81785,95;0;4,705269061;;246908,27;295055,81;45,5580506369;317105,38;224864,12;58,5098202021;420200,2;121774,62;77,5313140932;713,13;8,1649931347;;;541913,83;;;;1583263;2,92161394;86,1794491444;;;;;;;;;;;;;;;;;;;-180837,546739584;-1642607,73968464;-59529,6957086193;-1389166,76;-238674,904336174;-12628,5569533948;-16861,6810787567;-848594,460758148;-4849382,77194004;0;0;0;0;-744510;-3473941,92449592;-8940733,55274824
8;Emilia-Romagna;215404,34;2029835,76;0;9,5938220594;90,4061779406;0;2,3947362698;6,6722066932;7,627639069;7,7919186821;7,9310023454;8,0244158979;88118,27;2597,02;0;79455,94;7072,74;0;8,1738679014;9,6507387727;3605,03;6915,15;104977,78;1832,76;3144,71;14546,22;195880,65;33,7041334807;31,2599777731;12,1701248285;9,2824821051;175083,04;20795,61;19522,51;1242212,83;359982,01;427625,78;12,3533161781;5,461353007;4,3660035019;170694,86;44706,3;1128443,66;901376,96;13,1390808118;4,7254086284;89149,28;708671,16;11,1741032857;126396,24;898834,31;12,3285674622;22733,09;227706,7;9,0772676339;435,16;642,04;10289,5;3578,82;4527,76;8393,69;12141,26;218471,55;100783,95;71044,27;4,9288412421;5,0224902803;4,4979247997;3,4292113941;5,9913171579;146206,12;0;1409261,45;0;9,3994965128;;1132171,84;1113085,96;50,4250264713;1495672,04;749597,8;66,614355805;1965603,19;279675,52;87,5438394906;22310,35;9,6901100901;;;2245240,1;;;;4450508;1,9821969152;85,9802323772;;;;;;;;;;;;;;;;;;;-995173,878755473;-9039496,1920005;-294891,24518554;-28738211,48;-396327,676054833;-123407,202782799;-164773,607133265;-328142,205628528;-1875203,33010389;12771,3922237242;25542,7844474483;19331,4933732791;38662,9867465582;-7095400;-37939450,8028102;-47540097,759284
9;Toscana;161705,13;2136930,35;2,53;7,0348313774;92,9651686226;0,0001100652;2,281708914;4,5966213426;5,500090318;6,2034655482;6,3918648871;6,403710227;140120,18;4125,06;0;130698,83;10247,93;0,2;7,2707808253;7,0194108651;13917,02;26768,6;224952,07;3782,81;5218,38;22924,43;129779,51;21,3720131775;16,3140752894;9,248327292;6,4854987214;116546,36;32304,03;12853,72;1108856,05;623031,69;405023,29;9,5108642719;4,929386422;3,0759576843;102380,89;59323,22;716872,94;1420038,09;12,496846063;4,0100562046;71096,05;390413,64;15,4051044952;32827,61;222392,01;12,8624946624;9505,82;110578,79;7,9159352726;35419,87;17428,64;9383,39;1650,89;1064,25;467053,66;229042,16;245440,89;49684,68;29244,57;7,0491016711;7,0712798433;3,6822982488;3,2158793601;3,5113541207;38155,19;0;651600;0;5,5317003124;;998490,62;1300178,65;43,4377678003;1340028,2;958657,18;58,2954157911;1848690,83;450016,89;80,423048738;12371,74;7,0728992098;;;2298638,01;;;;3751545;1,6320729857;86,524440508;;;;;;;;;;;;;;;;;;;-455745,648405132;-4139689,56421016;-201907,512627227;-5868314,84;-393713,236206284;-48709,2369614318;-65036,6953980617;-720240,634992791;-4115891,26314205;1321,7607617383;2643,5215234766;2390,3149348497;4780,6298696993;-3136120;-10821039,0334963;-17913248,9601906
10;Umbria;45046,36;792839,11;7470,77;5,3761953886;94,6238046114;0,8837422197;1,6938356839;3,4244844225;4,0314948721;5,2015468437;5,2906324788;5,3018275542;61257,42;1789,42;0,01;57168,72;2683,88;449,35;4,4841493937;5,3961210759;0;0;0;0;0;0;45046,36;;;;5,3761953886;24273,98;16416,34;4354,58;234586,93;342111,08;216139,19;9,3772288755;4,5788241245;1,9749220125;27351,39;17693,51;242491,33;550345,87;10,1360488806;3,1148386226;4224,46;43662,62;8,8217114094;2350,77;31409,86;6,9630513412;1276,15;21912,96;5,5032297488;530,87;109,32;125,44;57,37;6298,5;9753,55;4427,71;1564,73;669,71;94158,38;5,1618856484;2,409505778;7,4217386417;7,8904659735;6,2698542897;39566,72;1220,53;634122,2;56713,5;5,8731439431;2,1067583249;318380,26;521799,06;37,8943223692;438660,54;402745,43;52,1342319451;628448,65;215139,57;74,4970869792;15449,53;5,4771876822;;;845356,24;;;;894762;1,058443716;86,8020768031;;;;;;;;;;;;;;;;;;;-698902,387924283;-6348363,31155374;-178239,424238415;-5900370,2;-134275,092299798;-55562,4890231585;-74187,1747786947;-624935,360746965;-3571259,1963833;3512,4925205689;7024,9850411377;5655,8293488612;11311,6586977224;-3048240;-10631356,6323632;-19236597,7555151
